Assay	Library Name	Assay Date	Region	Country	Density lb/ft3	Sulfur %	KinematicViscosity @ 100 F cSt	TAN(mg KOH/g) mg KOH/g	Pour Point F	Blank
Qaroun-2015	Aspen Assay Library	1/13/2015	Middle East	Egypt	52.6598351698951	0.186794323314947	6.09921236991388	0.153354067202856	85.3322311179525	
Qua Iboe-2012	Aspen Assay Library	8/19/2012	West Africa	Nigeria	52.6786032361398	0.119211414994837	3.22045864741771	0.321668578908417	78.7890026004983	
Rhemoura-2016	Aspen Assay Library	7/31/2015	Middle East	Azerbaijan	53.8282676627851	0.663274314988683	6.39920479956297	0.124031040474969	73.5944266268245	
Romex Light-2010	Aspen Assay Library	5/25/2010	Europe	Romania	54.1714059373266	0.520852647926971	5.90760841422333	0.438143295851296	91.5876807828118	
Samgori-2014	Aspen Assay Library	11/13/2013	Middle East	Georgia	51.9856358508789	0.242837393690566	4.15142467758141	0.0904163669937429	87.5093288106345	
Sangos-2016	Aspen Assay Library	4/21/2016	West Africa	Angola	54.0503227067978	0.518947815462789	8.74842955056138	0.409993036106927	57.295711950329	
Santa Barbara-2011	Aspen Assay Library	9/15/2011	Latin America	Venezuela	51.9732615650721	0.519754893137615	2.46582329668945	0.0876703466808153	52.5139665265296	
Sarir-2011	Aspen Assay Library	10/12/2011	North Africa	Libya	52.3063949802693	0.14720181067119	6.16255683215728	0.106162934138993	101.12513523864	
Statfjord-2008	Aspen Assay Library	9/3/2008	North Sea	Norway	51.5275596623904	0.226616788066078	2.66502650396228	0.0339343838830663	81.3155035770382	
Sugarloaf-2016	Aspen Assay Library	12/11/2015	North America	United States of America	47.6376108127024	0.0435966201475948	1.38977559390244	0.0119958481860155	49.9544780208931	
Syrian Light-2011	Aspen Assay Library	7/15/2011	Middle East	Syria	51.4074973280784	0.619406032041754	3.14581219160942	0.0530239386241406	71.7443522714621	
Tawke-2015	Aspen Assay Library	9/21/2015	Middle East	Iraq	55.6759725378085	2.87727442691743	9.56414496613253	0.0422398857665639	58.9287597646306	
Tengiz-2012	Aspen Assay Library	8/3/2012	Asia	Kazakhstan	49.2477088109226	0.536350397493515	1.52469320634071	0.0685458315825701	49.1198323715864	
Troll-2011	Aspen Assay Library	4/30/2011	North Sea	Norway	52.834702171687	0.153740108671916	3.36226182885609	0.468143658466293	59.6269978023089	
Ural Druzhba-2011	Aspen Assay Library	11/3/2010	Asia	Russia	54.1894419363416	1.68798825309661	6.82817807241798	0.0725222328084256	69.3049544449951	
Western Desert-2008	Aspen Assay Library	6/28/2008	Middle East	Egypt	51.1997720843977	0.310344692803423	2.59180594387575	0.0801890588784808	81.2788594402749	
Yoho-2011	Aspen Assay Library	11/26/2010	West Africa	Nigeria	51.1390705618577	0.0644571425840329	2.10250965232954	0.219825167212317	62.9372853272391	
Zagorskaya-2011	Aspen Assay Library	10/14/2010	Asia	Russia	51.3214408115435	0.688024176701066	2.53963910529534	0.0565559814173782	61.1847985154314	
Zaikinskaya-2011	Aspen Assay Library	7/14/2011	Asia	Russia	50.0000748379874	0.209113318615072	1.86681795273524	0.0451019923181139	61.5240608099691	
Zarzaitine-2016	Aspen Assay Library	4/11/2016	North Africa	Algeria	50.4430793369996	0.0906095193768847	2.29589170724193	0.068138728246878	58.9696348339658	
Zhanazhol-2009	Aspen Assay Library	12/28/2008	Asia	Kazakhstan	51.8342129245767	1.63993784571597	3.37035772903856	0.249386480133646	60.7169722019639	
Zuata Sweet-2009	Aspen Assay Library	2/6/2009	Latin America	Venezuela	53.5859433353251	0.128747517759806	3.83672221945846	0.0593752089916022	2.90759238426995	
Zueitina-2008	Aspen Assay Library	11/5/2007	North Africa	Libya	52.1794163318392	0.514279301228991	4.44558479935287	0.060725102446965	74.6250053693163	
Casteggio Condensate-2005	Aspen Assay Library	6/27/2005	Europe	Italy	45.3539059519464	0.02582060671644	0.636941158280272	0.223702501804784	-23.3636732352658	
Cpc-2016	Aspen Assay Library	7/11/2016	Asia	Kazakhstan	49.5016686102127	0.536623360478469	1.67542773184776	0.0531830283311702	50.3952417544527	
Iranian Heavy-2016	Aspen Assay Library	9/21/2016	Middle East	Iran	54.8766311900178	2.53170105693501	8.65848414069734	0.0941852854665152	64.1002636210412	
Mellitah Condensate-2012	Aspen Assay Library	3/8/2012	North Africa	Libya	45.8753708201275	0.057938558264929	0.756313918566424	0.0111359429124994	-31.7125396103077	
South Pars Condensate-2005	Aspen Assay Library	12/23/2004	Middle East	Iran	46.6153084620952	0.287705009628195	0.818564196152715	0.148600908798885	-18.9104867088588	
Abu Al Bu Khoosh-1987	Aspen Assay Library	02/1987 (ca.)	Middle East	United Arab Emirates	53.284834406256	1.72855237341655	4.26169273819053	0.0628036150555553	52.7284038373932	
